SchemaName	TableName	column_id	ColumnName	DataType	max_length	is_nullable
dbo	tbReportDetails	12	ReportPrintStatus	varchar	1	1
dbo	tbReportDetails	13	ReportReturnedForModi	varchar	-1	1
dbo	tbReportDetails	14	ReportNumberStatus	int	4	1
dbo	tbReportDetails	15	ReportReserveSignature	varbinary	-1	1
dbo	tbReportDetails	16	ReportReserveStatus1	varchar	10	1
dbo	tbReportDetails	17	ReportReserveStatus2	varchar	10	1
dbo	tbReportDetails	18	ReportCancelNote	varchar	255	1
dbo	tbReportDetails	19	ReportAttachment	varchar	255	1
dbo	tbReportDetails	20	ReportSentStatus	varchar	1	1
dbo	tbUserAuthority	1	id	bigint	8	0
dbo	tbUserAuthority	2	UserID	int	4	1
dbo	tbUserAuthority	3	AuthorityID	int	4	1
dbo	tbUserAuthority	4	AuthorityName	varchar	10	1
dbo	tbUserAuthority	5	Sort	int	4	1
dbo	tbUserRegistration	1	ID	int	4	0
dbo	tbUserRegistration	2	UserID	int	4	1
dbo	tbUserRegistration	3	username	varchar	50	1
dbo	tbUserRegistration	4	Password	nvarchar	-1	1
dbo	tbUserRegistration	5	Fullname	varchar	50	1
dbo	tbUserRegistration	6	Userlevel	varchar	50	1
dbo	tbUserRegistration	7	DeptID	int	4	1
dbo	tbUserRegistration	8	EmailAdd	nvarchar	-1	1
dbo	tbUserRegistration	9	EmailPass	nvarchar	-1	1
dbo	tbUserRegistration	10	EmailTo	varchar	255	1
dbo	tbUserRegistration	11	EmailBCC	varchar	255	1
dbo	tbUserRegistration	12	Signature	varbinary	-1	1
dbo	tbUserRegistration	13	Position	varchar	50	1
dbo	tbUserRegistration	14	Status	varchar	1	1
dbo	tbUserRegistration	15	Approver1	varchar	5	1
dbo	tbUserRegistration	16	Approver2	varchar	5	1
dbo	tbUserRegistration	17	ReportNumberStatus	int	4	1
dbo	tbUserRegistration	18	WorkWithStatus	varchar	1	1
dbo	tbUserRegistration	19	SuperApprover	varchar	5	1
